TF,TARGET
SFPQ,NOP58
SFPQ,RBM39
SFPQ,RPL24
SFPQ,SMARCE1
SFPQ,SMNDC1
SFPQ,SNW1
SFPQ,SQSTM1
SFPQ,SSR2
SFPQ,TRAF3
SMARCE1,EIF3D
SMARCE1,EIF3E
SMARCE1,MED1
SMARCE1,NDUFS2
SMARCE1,NOC2L
SMARCE1,PIK3CD
SMARCE1,PPIG
SMARCE1,PSMB4
SMARCE1,RPL27
SMARCE1,SCAF11
SMARCE1,SF3B6
TSC22D3,CD79B
TSC22D3,EIF3L
TSC22D3,FOS
TSC22D3,LFNG
TSC22D3,NCOR1
TSC22D3,PLEK
TSC22D3,PTPN6
TSC22D3,RBM39
TSC22D3,SFPQ
TSC22D3,SMAP2
TSC22D3,TLN1
TSC22D3,VIM
ZBTB38,HDLBP
ZBTB38,HSP90B1
ZBTB38,HSPA5
ZBTB38,LMAN1
ZBTB38,MGST3
ZBTB38,PDIA3
ZBTB38,UBE2H
ZBTB38,SEC61A1
ZEB2,SYK
MIS18BP1,SMC4
